,Fall_Allegheny_1,Fall_Allegheny_2,Fall_Allegheny_3,Fall_Braddock_1,Fall_Braddock_2,Fall_Braddock_3,Fall_Control_1,Fall_Control_2,Fall_Control_3,Fall_Monongahela_1,Fall_Monongahela_2,Fall_Monongahela_3,Fall_Neville_1,Fall_Neville_2,Fall_Neville_3,Fall_Sharpsburg_1,Fall_Sharpsburg_2,Fall_Sharpsburg_3,Fall_Sharpsburg_4,Spring_Braddock_1,Spring_Braddock_2,Spring_Control_1,Spring_Monongahela_1,Spring_Monongahela_2,Spring_Neville_1,Spring_Sharpsburg_1,Summer_Allegheny_1,Summer_Braddock_1,Summer_Braddock_2,Summer_Monongahela_1,Summer_Neville_1,Summer_Neville_2,Summer_Sharpsburg_1,Summer_Sharpsburg_2,Winter_Allegheny_2,Winter_Allegheny_3,Winter_Braddock_1,Winter_Braddock_2,Winter_Braddock_3,Winter_Control_2,Winter_Monongahela_1,Winter_Monongahela_2,Winter_Monongahela_3,Winter_Neville_1,Winter_Neville_2,Winter_Neville_3,Winter_Sharpsburg_1,Winter_Sharpsburg_2,Winter_Sharpsburg_3
Summer_Allegheny_1,0.895392,0.891693,0.909997,0.876151,0.871283,0.873638,0.950820,0.948157,0.938699,0.911428,0.910933,0.872911,0.889924,0.908350,0.931593,0.867725,0.883313,0.911810,0.867101,0.758660,0.649817,0.982551,0.657336,0.768541,0.608316,0.669162,0.000000,0.586842,0.604531,0.555713,0.529710,0.616277,0.505068,0.501575,0.697911,0.733952,0.954172,0.761255,0.795016,0.946271,0.802846,0.756575,0.737132,0.765664,0.778488,0.716374,0.880742,0.778260,0.805036
Summer_Braddock_1,0.876276,0.889061,0.917968,0.863339,0.863924,0.865388,0.939934,0.951784,0.927779,0.892442,0.890331,0.860446,0.887685,0.883624,0.898129,0.869630,0.881438,0.888843,0.879151,0.729063,0.625101,0.988781,0.621767,0.686406,0.582198,0.642177,0.586842,0.000000,0.386924,0.426157,0.384442,0.463160,0.593693,0.589769,0.788714,0.802245,0.962952,0.777096,0.818138,0.955894,0.808749,0.738353,0.762104,0.760415,0.818552,0.785455,0.884228,0.830364,0.791224
Summer_Braddock_2,0.893957,0.902375,0.921438,0.865147,0.865523,0.873732,0.945621,0.946773,0.934341,0.908812,0.909072,0.874941,0.884585,0.908314,0.919207,0.867188,0.902439,0.909134,0.903784,0.734622,0.689849,0.985983,0.718856,0.752674,0.690104,0.695937,0.604531,0.386924,0.000000,0.428824,0.499354,0.558564,0.705494,0.702823,0.826152,0.832311,0.962553,0.782447,0.855435,0.951484,0.813882,0.738668,0.791925,0.779048,0.850427,0.809345,0.884712,0.856779,0.815991
Summer_Monongahela_1,0.881167,0.872065,0.912077,0.851592,0.854342,0.850984,0.942259,0.944765,0.925666,0.889423,0.887894,0.855123,0.871122,0.877260,0.909314,0.869245,0.876974,0.872707,0.880480,0.796385,0.712821,0.987557,0.658961,0.773505,0.642623,0.676082,0.555713,0.426157,0.428824,0.000000,0.429545,0.508624,0.589585,0.600838,0.824241,0.820405,0.979730,0.792680,0.859476,0.955121,0.833287,0.786571,0.812099,0.796764,0.865427,0.805262,0.918658,0.875645,0.846715
Summer_Neville_1,0.857651,0.886687,0.913086,0.851392,0.847532,0.856938,0.943518,0.950070,0.929885,0.887018,0.880830,0.848472,0.876887,0.867562,0.892422,0.881141,0.868480,0.878017,0.878175,0.709710,0.592959,0.988009,0.592440,0.690793,0.521922,0.617951,0.529710,0.384442,0.499354,0.429545,0.000000,0.426964,0.463396,0.510442,0.773577,0.750978,0.973333,0.766649,0.798087,0.950432,0.821756,0.745536,0.749156,0.746865,0.799143,0.723099,0.863176,0.828614,0.798450
Summer_Neville_2,0.926089,0.943780,0.940028,0.911819,0.901035,0.921125,0.957493,0.966898,0.960317,0.947561,0.937979,0.912568,0.928099,0.942392,0.951462,0.923288,0.932118,0.942904,0.930740,0.743871,0.593800,0.988817,0.585049,0.636538,0.563170,0.647104,0.616277,0.463160,0.558564,0.508624,0.426964,0.000000,0.489239,0.491023,0.801905,0.776336,0.958838,0.775172,0.824328,0.946073,0.806239,0.752171,0.768137,0.754619,0.819454,0.763772,0.897148,0.866351,0.797281
Summer_Sharpsburg_1,0.904283,0.897882,0.906301,0.889437,0.888810,0.904893,0.947368,0.954290,0.942810,0.936976,0.927693,0.899756,0.901800,0.907863,0.929825,0.893019,0.883662,0.902399,0.887621,0.780055,0.651355,0.988707,0.508359,0.698798,0.492198,0.627294,0.505068,0.593693,0.705494,0.589585,0.463396,0.489239,0.000000,0.328917,0.759165,0.761820,0.967594,0.777892,0.799904,0.952997,0.813299,0.777200,0.763776,0.756460,0.766712,0.747373,0.883157,0.822307,0.791507
Summer_Sharpsburg_2,0.911151,0.906107,0.917273,0.891642,0.889497,0.896288,0.952777,0.962840,0.943572,0.930374,0.924220,0.898716,0.907991,0.916156,0.935835,0.904509,0.886673,0.909260,0.887796,0.719101,0.590631,0.990274,0.472080,0.618145,0.492412,0.596121,0.501575,0.589769,0.702823,0.600838,0.510442,0.491023,0.328917,0.000000,0.745128,0.730570,0.972200,0.766245,0.791083,0.962116,0.826595,0.749686,0.749401,0.723020,0.733603,0.723577,0.867976,0.838021,0.781165
Winter_Allegheny_2,0.970257,0.954904,0.977489,0.947317,0.949404,0.948191,0.988432,0.992659,0.990405,0.983835,0.978902,0.962476,0.974033,0.966586,0.982932,0.961611,0.958787,0.949405,0.959906,0.746041,0.673698,0.985162,0.698740,0.741352,0.658537,0.705962,0.697911,0.788714,0.826152,0.824241,0.773577,0.801905,0.759165,0.745128,0.000000,0.319689,0.881638,0.542450,0.507134,0.853838,0.605280,0.494743,0.433241,0.404590,0.361714,0.373811,0.680907,0.554833,0.539496
Winter_Allegheny_3,0.971315,0.960930,0.978579,0.953446,0.951770,0.951377,0.990857,0.994917,0.992465,0.984705,0.978834,0.963734,0.978325,0.970545,0.986197,0.964982,0.961982,0.952673,0.962892,0.688666,0.641608,0.987004,0.652740,0.679909,0.626105,0.666875,0.733952,0.802245,0.832311,0.820405,0.750978,0.776336,0.761820,0.730570,0.319689,0.000000,0.915194,0.606843,0.563188,0.872086,0.674258,0.543174,0.453688,0.390441,0.411170,0.366015,0.659832,0.624132,0.546820
